n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts,dim
512,512,0.9,0.6,0.0010306835174560547,True,240,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
512,512,0.9,0.6,0.0014019012451171875,True,237,-10,352,344,2,"[0.5, 0.5]","[352, 344]",8
512,512,0.9,0.6,0.0012965202331542969,True,242,-8,352,351,2,"[0.5, 0.5]","[352, 351]",16
512,512,0.9,0.6,0.0013790130615234375,True,249,-10,339,349,2,"[0.5, 0.5]","[339, 349]",32
512,1024,0.9,0.6,0.0010683536529541016,True,462,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
512,1024,0.9,0.6,0.0013725757598876953,True,493,-10,355,348,2,"[0.5, 0.5]","[355, 348]",8
512,1024,0.9,0.6,0.0014069080352783203,True,500,-10,350,349,2,"[0.5, 0.5]","[350, 349]",16
512,1024,0.9,0.6,0.001355886459350586,True,499,-9,354,345,2,"[0.5, 0.5]","[354, 345]",32
512,2048,0.9,0.6,0.0010943412780761719,True,919,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
512,2048,0.9,0.6,0.0014500617980957031,True,995,-8,353,357,2,"[0.5, 0.5]","[353, 357]",8
512,2048,0.9,0.6,0.0013949871063232422,True,987,-10,348,345,2,"[0.5, 0.5]","[348, 345]",16
512,2048,0.9,0.6,0.0014238357543945312,True,1013,-10,356,343,2,"[0.5, 0.5]","[356, 343]",32
512,4096,0.9,0.6,0.0011022090911865234,True,1920,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
512,4096,0.9,0.6,0.0013747215270996094,True,1947,-10,342,353,2,"[0.5, 0.5]","[342, 353]",8
512,4096,0.9,0.6,0.0014276504516601562,True,1987,-9,360,351,2,"[0.5, 0.5]","[360, 351]",16
512,4096,0.9,0.6,0.0014584064483642578,True,1996,-6,352,348,2,"[0.5, 0.5]","[352, 348]",32
1024,512,0.9,0.6,0.0021677017211914062,True,250,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
1024,512,0.9,0.6,0.003220081329345703,True,248,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
1024,512,0.9,0.6,0.0045070648193359375,True,255,-7,688,705,2,"[0.5, 0.5]","[688, 705]",16
1024,512,0.9,0.6,0.004615306854248047,True,255,-10,714,693,2,"[0.5, 0.5]","[714, 693]",32
1024,1024,0.9,0.6,0.0022187232971191406,True,483,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
1024,1024,0.9,0.6,0.0032892227172851562,True,506,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
1024,1024,0.9,0.6,0.004661083221435547,True,508,-10,694,712,2,"[0.5, 0.5]","[694, 712]",16
1024,1024,0.9,0.6,0.004560708999633789,True,495,-10,704,704,2,"[0.5, 0.5]","[704, 704]",32
1024,2048,0.9,0.6,0.002181529998779297,True,926,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
1024,2048,0.9,0.6,0.0032744407653808594,True,1004,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
1024,2048,0.9,0.6,0.004712581634521484,True,1000,-10,706,701,2,"[0.5, 0.5]","[706, 701]",16
1024,2048,0.9,0.6,0.004481792449951172,True,1052,-10,711,684,2,"[0.5, 0.5]","[711, 684]",32
1024,4096,0.9,0.6,0.0022335052490234375,True,1936,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
1024,4096,0.9,0.6,0.003192901611328125,True,1912,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
1024,4096,0.9,0.6,0.00471043586730957,True,2000,-10,703,702,2,"[0.5, 0.5]","[703, 702]",16
1024,4096,0.9,0.6,0.004528522491455078,True,1994,-10,699,689,2,"[0.5, 0.5]","[699, 689]",32
2048,512,0.9,0.6,0.00449061393737793,True,238,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
2048,512,0.9,0.6,0.007047176361083984,True,251,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
2048,512,0.9,0.6,0.011404991149902344,True,248,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
2048,512,0.9,0.6,0.016833066940307617,True,232,-10,1382,1390,2,"[0.5, 0.5]","[1382, 1390]",32
2048,1024,0.9,0.6,0.004113197326660156,True,457,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
2048,1024,0.9,0.6,0.007184267044067383,True,524,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
2048,1024,0.9,0.6,0.011575460433959961,True,518,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
2048,1024,0.9,0.6,0.016864299774169922,True,514,-10,1412,1377,2,"[0.5, 0.5]","[1412, 1377]",32
2048,2048,0.9,0.6,0.004317522048950195,True,942,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
2048,2048,0.9,0.6,0.00711822509765625,True,1003,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
2048,2048,0.9,0.6,0.011612176895141602,True,983,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
2048,2048,0.9,0.6,0.01668524742126465,True,1014,-10,1379,1414,2,"[0.5, 0.5]","[1379, 1414]",32
2048,4096,0.9,0.6,0.004290103912353516,True,1937,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
2048,4096,0.9,0.6,0.007147550582885742,True,1972,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
2048,4096,0.9,0.6,0.011561870574951172,True,1988,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
2048,4096,0.9,0.6,0.016945600509643555,True,1992,-10,1423,1373,2,"[0.5, 0.5]","[1423, 1373]",32
4096,512,0.9,0.6,0.009103059768676758,True,246,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
4096,512,0.9,0.6,0.01510477066040039,True,239,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
4096,512,0.9,0.6,0.025551557540893555,True,251,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
4096,512,0.9,0.6,0.061443328857421875,True,265,-10,1563,1563,2,"[0.5, 0.5]","[1563, 1563]",32
4096,1024,0.9,0.6,0.03314518928527832,True,495,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
4096,1024,0.9,0.6,0.03711271286010742,True,497,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
4096,1024,0.9,0.6,0.04389142990112305,True,505,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
4096,1024,0.9,0.6,0.09527778625488281,True,494,-10,1563,1563,2,"[0.5, 0.5]","[1563, 1563]",32
4096,2048,0.9,0.6,0.008866548538208008,True,966,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
4096,2048,0.9,0.6,0.01533198356628418,True,973,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
4096,2048,0.9,0.6,0.024935245513916016,True,1006,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
4096,2048,0.9,0.6,0.04178047180175781,True,1050,-10,1563,1563,2,"[0.5, 0.5]","[1563, 1563]",32
4096,4096,0.9,0.6,0.009240150451660156,True,1917,-10,237,237,2,"[0.5, 0.5]","[237, 237]",4
4096,4096,0.9,0.6,0.015434980392456055,True,1986,-10,426,426,2,"[0.5, 0.5]","[426, 426]",8
4096,4096,0.9,0.6,0.02528858184814453,True,1975,-10,805,805,2,"[0.5, 0.5]","[805, 805]",16
4096,4096,0.9,0.6,0.04166007041931152,True,2059,-10,1563,1563,2,"[0.5, 0.5]","[1563, 1563]",32
